,index,link,heading,message
517,29191,/Forum/Appeals/Details/29191,Не предоставление отпуска из-за больничного по карантину.,"Приветствую. Проживаю с родителями пенсионерами в одной квартире. У отца диагностировали ковид. Мне открыли больничный по карантину с 09. .09.21 через день у меня была тоже температура, вызывал врача, но ковид не подтвердился, хотя болел около 2 недель.  Закрыли больничный 29.09.21 карантином. В период больничного с 20.09.21 у меня должен быть отпуск длительностью 14 дней. Работадатель сказал, что больничный закрыт карантином и отпуск не переносится.  Хочу узнать законно ли это и что делается в таких случаях. Получается в свой законный отпуск я был на больничном без его переноса."
518,29190,/Forum/Appeals/Details/29190,Карантин ,"Добрый вечер. У ребёнка группа закрыта на карантин, ребёнок дома на самоизоляции ( как контактный ). Сказали, что при появлении симптомов вызывать бригаду. Поднялась температура вечером, скорая сказала, что мазки не берет и не назначает никакого лечения, а поликлиника уже не работала. Что делать в такой ситуации? "
519,29189,/Forum/Appeals/Details/29189,Аллергическая реакция у ребенка,"Приобрели детские влажные салфетки компании Джонсон & Джонсон Gohnsons 0+ гипоаллергенные (дата изготовления 18.07.2021 GAII 05:33/ годен до 18.01.2021 г.) . При первом же использовании в течении пары минут у ребенка (8 месяцев) началась сильная аллергическая реакция,  именно в местах что протирали, а именно лицо, руки.
До этого момента пользовались типовым товаром разных производителей, но такого никогда не было, и аллергии у ребенка в принципе ни на что не было.
Подобный случай может быть опасен для жизни детей.

Результат осмотра врача:
Диагноз: Аллергическая реакция на косметические средство (влажные салфетки Johnson&Johnson). 
Обследование: самоконтроль (контроль за цветом кожных покровов и общим состоянием ребёнка); 
Лечение:;
1. Режим - грудника, не купать 1 сутки;
2. Диета - по возрасту, не вводить новые продукты в рацион, обильное тёплое питье небольшими порциями 
3. Капли ""Фенистил"" 1 мг в 1 мл., по 9 капель х 3 раза в сутки - 3 дня
4. ""Энтеросгель"", по 0.5 ч.л. х 3 раза в сутки за 1 час или через 1 час после еды - 3 дня; 
Контроль терапии в течение 24-48 часов

"
520,29187,/Forum/Appeals/Details/29187,Посещение магазинов любого типа и ТЦ с собакой,"Насколько мне известно, можно заходить в общественные места с собаками любого размера в наморднике и на поводке, тк это имущество и технически нет запрещающих законов, как и права решать предприятию данный вопрос самостоятельно. Так ли это?"
521,29186,/Forum/Appeals/Details/29186,Жалоба на УК ОАО Сити Сервис,"Обращаюсь к Вам за помощью в моей ситуации. В многоквартирном доме, по адресу : пр. Дунайский дом 7, корп 7, 10 и 11 парадные, работает УК ОАО Сити Сервис, в многоквартирном доме каждые 3-4 месяца происходят ЧП или поломка разных общедомовых сантезнических приборов. В ночь с 8.09.21 на 09.09.21 у меня в квартире произошло ЧП,  без всяких следственных причин (типо засора) у меня в квартире из унитаза начала выливаться вода с пеной и песком.  За день до этого происшествия, УК отключили подачу горячей воды в доме , в связи с очередной поломкой общедомового прибора ""насоса подачи горячей воды"" .  Аварийная служба по приезду, не обнаружила засора в унитазе моей кв, сантехники сказали, что скорее всего засор в общедомовом стояке. Т.к. у меня кв. на 2-м этаже, а под моей кв. подвальное помещение, где стояк имеет изгиб на 90 градусов в сторону , то моя кв первая, поэтому именно мой санузел под угрозой подобных случаев.  В связи с вышеуказанным ЧП у меня в кв, испортился ремонт, попортились мебель и межкомнатные двери. УК Сити Сервис, которая работает в нашем многоквартирном доме , по адресу: пр. Дунайский дом 7; корпус 7; 10-я парадная свою вину не признаёт и возмещать ущерб, а так же устранять причинно-следственный риск ""особенности"" общедомового имущества исправлять не собирается.  Очень прошу Вас провести внеплановую проверку работы УК ОАО Сити Сервис по адресу : пр. Дунайский дом 7; корпус 7; 10-я парадная, в том числе по вышеуказанному ЧП и повлиять на справедливое разрешение по  моей ситуации. 
Подробная информация по моей ситуации в прикреплённых файлах. "
522,29185,/Forum/Appeals/Details/29185,Навязывание товара,"В любом автосалоне г. Кирова нет возможности приобрести автомобиль по рекомендованной розничной цене производителя. Дилеры увеличивают по своему желанию стоимость от 100000 до 500000 руб. на автомобиль (пользуются дефицитом авто на рынке), многие навязывают к покупке дополнительных товаров к автомобилю порой не нужного, не оставляют потребителю право выбрать или отказаться от товара. Навязывают кредиты, страховки, Имеется аудиозапись требований автодилера в г.Киров. Готов с вашим представителем посетить любой автосалон Кирова."
523,29183,/Forum/Appeals/Details/29183,Уровень шума от дороги,"Добрый день.
Проживаю в собственной квартире в доме номер 31 по улице Антонова-Овсеенко.
Окна выходят на дорогу. 
Уточните, можно ли измерить с помощью Роспотребнадзор уровень шума от дороги? И в каком случае может быть установлен шумозаградительный забор? И каков порядок моих действий - куда обращаться и с какими документами? "
524,29182,/Forum/Appeals/Details/29182,Мошенничество в интернет магазине,"Здравствуйте!
Совершила покупку в интернет магазине https://garageoftheday.ru. Магазин нашла в инстаграм. Выглядит , как обычный интернет магазин, у меня даже не возникло никакого подозрения на обман. Еще год назад планировала сделать заказ, но к счастью, передумала. Заказ был сделан 8.09.21. Оплата была обязательна на сайте. Пришло письмо, о том что заказ взят в работу и уйдет 2-10 дней на обработку. Спустя 2 недели я начала писать им в Инстаграм уточнить статус заказа, но меня игнорируют. В интернете нашла много отзывов об этом продавце, что ничего в итоге покупатели не получают. https://nanegative.ru/garageoftheday 
Как то можно вернуть деньги в этой ситуации ? Ни разу не попадала в такие обманы и не знаю, что делать."
525,29181,/Forum/Appeals/Details/29181,Выезд в Абхазию и возвращение в РФ гражданина Республики Казахстан.,"Ранее оставлял обращение:
https://zpp.rospotrebnadzor.ru/Forum/Appeals/Details/29054
Ответом не удовлетворен. В ответе говорится о гражданах РФ, меня же интересуют требования к иностранному гражданину с видом на жительство РФ.
Повторю свой вопрос:

Гражданин Республики Казахстан с видом на жительство РФ, проживающий в РФ намеревается выехать в Абхазию на автомобиле и вечером вернуться в РФ. Вопросы: 
-потребуют ли у него при возвращении в РФ ПЦР тест (прививок от CoVID нет)? 
-тоже самое, если у него есть сертификат о вакцинации на госуслугах?"
526,29180,/Forum/Appeals/Details/29180,Неправильное начисление долга от Сбербанка,"Здравствуйте. 27.09.2018 я брала потребительский кредит в Сбербанке.Кредитный договор - 93255042 . Потом 02.07.2019 я оформила реструктуризацию в связи с декретным отпуском и другими проблемами. На момент выхода на реструктуризацию долг составлял 427446,21. А после истечения срока долг вырос и стала должна около 470 тысяч. Я считаю расчет процентов и платежей неправильными и прошу помочь мне с установлением правельных сумм. Прошу провести проверку расчета гашения кредита, и запросить оригинал кредитного договора у Сбербанка."
527,29179,/Forum/Appeals/Details/29179,Не возвращают деньги за не качественный товар,"19 сентября 2021 года приобрела автоклав в магазине Сибклад в Красноярске. При его использовании обнаружила,что не исправен тонометр давления. 24 сентября вернула автоклав в магазин. В претензии указала,что хочу вернуть деньги. Магазин деньги возвращать отказывается."
528,29178,/Forum/Appeals/Details/29178,Некачественный товар,"Добрый день!В интернет магазине была приобретена кровать ,при распаковки деталей дома ,были обнаружены сколы.В интернет магазин было составлено письмо и фотография сколов мебели.Пришел отказ ,что поменять могут только за мой счёт ,так как я все коробки должна была вскрыть при курьере и каждую деталь проверить."
529,29176,/Forum/Appeals/Details/29176,Масочный режим в детском саду,"Добрый день, хочу сообщить, что в детском саду 1862 отсутствует масочный режим, на мой вопрос почему родители и часть сотрудников посещают и работают в детском саду без масок, мне ответили, что сотрудники не могут заставить всех одевать маски и вообще это личное дело каждого. "
530,29175,/Forum/Appeals/Details/29175,Нет отопления,"30.09.2021
Нет отопления до сих пор ни в одной из комнат  
Службы не реагируют,  только говорят, что заявка принята
Ночью на улице температура доходит до нуля 
Из-за холода дома -заболела"
531,29174,/Forum/Appeals/Details/29174,Нарушение закона о тишине,"Здравствуйте! Грубое нарушение закона о тишине при ночной разгрузке фур в ТЦ Самолет (МО, г. Жуковский, ул. Гагарина, 60А). В качестве доказательства можно посмотреть записи с их камер наблюдения. Рохлей по фуре возят так, что просыпаешься среди ночи. Постоянно."
532,29173,/Forum/Appeals/Details/29173,Возврат денег за некачественный товар ,"Покупка товара в магазине ООО ""ТЕХНОСЕЙЛ БТ""
19.09.21 При заказе товара оператор сообщил что у меня есть 7 дней на осмотр и проверку товара с момента его получения.
24.09.21 Информацию о возможности осмотра товара в 7ми дней период также подтвердил и водитель-курьер в момент передачи товара. Осматривать товар в моем присутствии водитель не смог так как спешил на другие доставки и времени ждать у него не было.
Через некоторое время товар мною был осмотрен 
Из 5 купленных товаров товаров 3 товара с повреждениями.Пенал,Тумба, Душ.
Оператор по телефону сообщил, что необходимо заполнить претензию на официальной сайте и ждать ответа по электронной почте.
Обращение по испорченному товару было отправлено мной в тот же вечер что и доставлялся товар 24.09.21. (Также дополнительно запросил аудио запись подтверждающую возможность проверки товара в 7ми дневный период, но на запрос не было ответа)
После чего от магазина пришел ответ.
Согласно действующему Законодательству магазин несет ответственность за внешний вид товара до момента его передачи Продавцом Покупателю.
При получении товара Вы должны проверить его на отсутствие механических повреждений. В соответствии со ст. 459, ч.2 ГК РФ (также ст.211 ГК РФ), претензии по внешнему виду и комплектности доставленного Вам товара можно предъявить только до момента передачи товара Продавцом Покупателю. При приеме товара Вами был произведен его осмотр на предмет механических повреждений, о чем свидетельствует Ваша подпись в договоре купли-продажи.
https://www.techport.ru/zakonodatelstvo/dogovor-kupli-prodazhi/
1.1. По настоящему договору Продавец обязуется передать в собственность Покупателя Товар в количестве, ассортименте и в сроки, оговоренные в заказе, а Покупатель обязуется оплатить Товар по цене, предусмотренной в Договоре. Заключая настоящий договор, Покупатель соглашается с тем, что Продавец предложил ему полную информацию о товаре.
1.2. Покупатель обязуется лично осмотреть Товар, после чего в случае отсутствия выявленных недостатков принять Товар и уплатить за него согласованную в договоре цену.
Претензии по повреждениям товара на основании акта приема-передачи к договору купли-продажи, заключенного между Продавцом и Покупателем в соответствии со ст.458 ГК РФ. «Момент исполнения обязанности продавца передать товар», ст. 459 ГК РФ. «Переход риска случайной гибели товара», ст. 484 ГК РФ. «Обязанность покупателя принять товар»:
1. Покупатель обязан принять переданный ему товар, за исключением случаев, когда он вправе потребовать замены товара или отказаться от исполнения договора купли-продажи.
2. Если иное не предусмотрено законом, иными правовыми актами или договором купли-продажи, покупатель обязан совершить действия, которые в соответствии с обычно предъявляемыми требованиями необходимы с его стороны для обеспечения передачи и получения соответствующего товара возможно предъявить только до передачи товара Продавцом Покупателю.
Риск случайной утраты или повреждения изделия переходит к Покупателю с момента передачи товара Покупателю Продавцом. Факт приема товара Покупателем подтверждается подписью в документах Продавца. Если внешний вид или комплектация товара не соответствовали надлежащему - Вы имели право не принимать товар.
Исходя из вышеизложенного, у нас отсутствуют основания для удовлетворения Ваших требований.
Приносим свои извинения и надеемся на понимание.

как быть в такой ситуации ?"
533,29171,/Forum/Appeals/Details/29171,Отказ в исправления брака,"19.11.2020г Была приобретена мебель для ванной комнаты, в частности Тумба Tess 100.  30.08. 2021 г.  Была написана в адрес производителя www.alavann.ru
Претензия о облезании краски покрытия с элементов тумбы с просьбой заменить /отремонтировать деталь в рамках гарантийного срока. Производитель откетил,что ""разбухание элементов тумбы происходит в результате нарушения условий эксплуатации, длительный контакт с влажными поверхностями и проникновения воды внутрь ее элементов, что приводит к разбуханию и деформации деталей, влагу с поверхности мебели необходимо сразу удалять. Настоящая гарантия не распространяется на расслоение и разбухание деталей изделия в следствии попадания на них воды.  (см.Гарантийный талон ) "".
Разбухание поверхности не было,мебель эксплатируется в рамках целевого назначения. Считаю,что производитель уходит от ответственности и производит заведомо не качественный товар. Прошу принять меры и принудить производителя заменить/ принять к возврату товар. "
534,29169,/Forum/Appeals/Details/29169,Обманули при покупке,"В соц.сетях Instagram у kolyaski142 была приобретена коляска Verdi mirage 3 в 1 в Кемерово. Продавец прислал видео обзор коляски, видео устроило и мы перевели сумму на карту продавца. Коляска была отправлена транспортной компанией, за пересылку мы тоже оплатили. Пришёл товар в Красноярск, но совсем другой, не как на видео и с дефектами. Связались с продавцом, попросили вернуть средства и мы отправим товар обратно, так как такой вид нас не устраивал, но продавец отказал в возврате. Как поступить в этой ситуации? Куда обратиться? "
535,29167,/Forum/Appeals/Details/29167,Торговля просроченным товаром Анапа ,"Магазин Белорусские продукты в Анапе 
по адресу Владимирская 154 корпус 2, открыто торгует просроченными товарами, снижая на них цену. 
На просьбу убрать с прилавков просроченный товар продавец отказался и сказал, что это их магазин и их правила. "
536,29164,/Forum/Appeals/Details/29164,Ненадлежащие выполнение услуг,"Доброго дня!
Пожалуйста, подскажите, что делать в данной ситуации?
23.09.2021 отнесла пуховое одеяло с пятнами от крови и пота в приемку Suzy Wong  Рассказовка по адресу: бульвар Андрея Тарковского, 1 Внуковское поселение, Москва, 108850
Очень приветливый персонал все принял, сказали, что, возможно, не все пятна отстираются, я согласилась, тк не первый раз сдаю одеяло в химчистку, конкретно в эту - первый.
Всегда основная часть пятен отстировалась.
Когда забирала, не стала разворачивать 2-спальное одеяло в небольшом проходе, расписалась, дома внимательно рассмотрела...
Вернули точно такое же грязное, с пятнами ничуть не светлее, чем были, без запаха свежести, такое ощущение, что его забрали на 5 дней 23.09.2021 и просто вернули.
Позвонила по номеру, указанному на пакете Suzy Wong 8 (495) 374-68-45, никак мою претензию абонент не предложил решить.
Если химчистка не чистит никакие пятна, зачем спрашивается туда обращаться?
с уважением, Уколова Анна Рустамжановна 8 (927) 692-06-21"
537,29161,/Forum/Appeals/Details/29161,Навязывание кредита,"Добрый день, помогите пожалуйста разбраться!
Я оформила заявку в онлайн магазине Ситилинк на товар. В день получения я прошла на кассу магазина и выяснила что это микроорганизация а не банк. Ввиду того что я не доверяю таким предприятиям по многим причинам, одна из них- это невозмодность дозвониться туда. Организация называется Квику  займ. Придя в торговый зал я приняла решение отказаться от займа, так как не доверяю подобным организациям, о  чем уведомила  оператора  справочной службы Ситилинк и он сообщил что заказ аннулирован. Товар из магазина я не забирала!!!Позже,я  перезвонила для того что бы попросить направить в банк информацию об аннулировании договора. Сейчас мне названивают сотрудники и называют огромную сумму долга! 
Мои данные:
Митрофанова Елена Анатольевна
Нижний Новгород
ул 40 лет победы 8-44
  89506211028"
538,29160,/Forum/Appeals/Details/29160,Курение на территории реабилитационного центра,"Сообщаю, что по адресу Санкт-Петербуг, Гражданский проспект 106 корпус 4 нарушается закон о запрете курения в общественных местах. Сотрудники и клиенты организации, снимающей помещение на 1 этаже многоквартирного дома курят на придомовой территории. Дым идет окна. На просьбы прекратить курить отвечают отказом. 
Центра расположен на другой от подъездов стороне дома. Прошу обратить внимание на эту проблему и помочь ее решить.
"
539,29158,/Forum/Appeals/Details/29158,"Бездействие взрослого поликлинического отделения, СПб ГБУЗ ""Городская поликлиника №27""","Прошу обратить внимание и проверить данное заведение СПб ГБУЗ ""Городская поликлиника №27""
Регистратура не берёт трубку, по другим номерам отвечают, что всего один оператор.
Если дозвонился сбрасывают.
Врачи каждый раз разные, гастроэнтеролога вообще нет.
Кровь на забор 40 минут сдавать. Участковый врач на вызов может не прийти. В вакцинации отказывают!!!

"
540,29157,/Forum/Appeals/Details/29157,Независимая гарантия,"Здравствуйте. При оформлении автокредита, мне также оформили договор независимой гарантии, согласно которому Гарант обязуется произвести оплату нескольких платежей по кредитному договору в случае расторжения трудового договора по уважительным причинам.
При этом я сообщал сотрудникам автосалона, что не являюсь работником по найму, а являюсь ИП.
Могу ли я на основании закона о защите прав потребителей отказаться от этой независимой гарантии и вернуть оплаченные за нее деньги?"
541,29156,/Forum/Appeals/Details/29156,некачественно изготовленная продукция,"Купила пластовой творог ООО "" Чистые продукты"" адрес юр. лица 143330,Московская область,  г. Верея,,Советская площадь, д.2а
Дата изготовления 27.09.2021 г.    Сухой, с жесткими комочками.Сливок не видать! Ранее качество было отличное. Где контроль качества? На упаковке и в сети интернет данных о телефонных контактах не обнаружено. Хотелось бы покупать качественно сделанную продукцию, а не ""кота в мешке"". Тем более.что пожаловаться изготовителю невозможно."
542,29154,/Forum/Appeals/Details/29154,Бытовая техника не имеет заявленной функции,"Сломалась посудомоечная машина, решили купить новую. Зашли на сайт М-видео, выбрали по функционалу для себя посудомоечную машину, но решили заказать её в магазине, приехали в магазин на заверили, что данная функция есть, купили 11.09.21г, 13.09.21г нам её привезли и сразу мы её установили. При первом же запуске выяснилось, что необходимой функции нет. 14.09.21г поехали в магазин и оформили заявление на возврат. Сразу же сделали видео скрин с сайта на товар, где видно, что необходимая функция есть. Дней через 5 это видео запросил М-видео, тк у них на сайте уже нет информации об этой функции, успели обновить информацию после нашего заявления. И тишина. Через несколько попыток узнать в чем дело уже 24.09.21г нам сказали, что они все ещё решают как быть и в разные подразделения отправляют запросы...
Сегодня 29.09.21г вопрос по посудомойечной машине так и не решено наш вопрос по возврату товара и денег не решён. Говорят, что вопрос открыт до 08.10.21г.
Можем ли мы вернуть свои деньги и вернуть обратно магазину посудомоечную машину, если в ней отсутствуют заявленные функции, даже если машина была уже подключена? В течении какого времени продавец обязан рассмотреть заявление на возврат товара? "
543,29150,/Forum/Appeals/Details/29150,Возврат денег за некачественный товар,"Обратилась в магазин, хочу вернуть деньги за блендер, который перестал работать по прошествии 3 мес. с момента покупки. 
Предлагают оформить замену (для этого товар примут на проверку на 20 дней) или ремонт(товар примут на ремонт на 45 дней)
Если буду писать заявление на возврат денег, товар мой не возьмут, а примут только заявление, по которому ответ 10 дней, потом ещё проверка и неизвестно сколько она будет.

8908639443"
544,29148,/Forum/Appeals/Details/29148,Гарантия на оборудование и ремонт в новостройках,"Здравствуйте! У меня такой вопрос: живу в квартире от застройщика ""Пик"". Дом сдан в декабре 2016, квартиру приобрела в апреле 2017 от застройщика, с мая 2017 проживаю в ней. Адрес: г. Люберцы, пр-т Гагарина, 22, корп 3. 
В августе 2021 выявились 2 неполадки: 
1. течь в соединении полотенцесушителя в обоих соединениях. Заявку в УК ""ПИК-Комфорт"" подала с требование осуществить гарантийный ремонт (дому еще нет 5 лет), но и в УК ""ПИК-Комфорт"" отказали, и сам застройщик ""ПИК"", сославшись на то, что гарантийный срок на полотенцесушитель истек.
2. течь в соединении трубы ГВС, которая находится в туалете за унитазом в стене в самом низу у пола в недоступном месте. Сантехника вызвали соседи снизу - течь у них от нас была. Я вызвала сантехника через ""ПИК-Комфорт"" по заявке через мобильное приложение УК. Прислали сотрудника из подрядной организации. Он сообщил, что ремонт невозможен без демонтажа стены за унитазом. Я оплатила 1500 руб просто за визит и разговор с сантехником, который ничего не сделал. УК и застройщик в гарантийном ремонте по данной проблеме также отказали, сославшись тоже на истечение срока гарантии.
При этом отмечу, что меня как жильца еще и вынуждают не только по истечении 4 лет после сдачи дома уже такие капитальные вещи ремонтировать, как трубы стояка, так еще и платить деньги за демонтаж стены, ремонт, последующее возведение стены за унитазом. А ведь размещение этих труб таким образом было спланировано застройщиком. 
Официальный ответ, который получила от ""Пик"" и фото неполадок прилагаю. 
Прошу помочь с разрешением ситуации. Есть ли все-таки возможность привлечь застройщика к ответственности и ремонту по гарантии? "
545,29147,/Forum/Appeals/Details/29147,Навязывание услуг(кредитование и страховка),Автодилер навязывает оформление кредита и страховки. В случае отказа от данных услуг увеличивает стоимость автомобиля.
546,29145,/Forum/Appeals/Details/29145,Нет горячей воды,"Добрый день! Подскажите, как исправить ситуацию в СП Новинки  Нижегородской области, жители ЖК Акварель, Инженерный проезд, страдают от постоянных, ежемесячных перебоев с подачей холодной и горячей воды! Мы платим огромные суммы за услугу, которая предоставляется некачественной и не в полном объеме!"
547,29144,/Forum/Appeals/Details/29144,Нет горячей воды,"Добрый день! Подскажите, как исправить ситуацию в СП Новинки  Нижегородской области, жители ЖК Акварель, Инженерный проезд, страдают от постоянных, ежемесячных перебоев с подачей холодной и горячей воды! Мы платим огромные суммы за услугу, которая предоставляется некачественной и не в полном объеме!"
548,29142,/Forum/Appeals/Details/29142,Некачественная и не в срок уставка ворот на дачном участке,Здравствуйте как и в каком порядке мне действовать если строительная компания не качественно и не в срок установила ворота на дачном участке 
549,29141,/Forum/Appeals/Details/29141,отсутствие отопления,киров улица Грибоедова 30 отсутствует отопление.  В доме живет 90-летний дед. 
550,29139,/Forum/Appeals/Details/29139,Нарушение прав потребителя ТК Попутчик,"Добрый день! Претензия в адрес ТК Попутчик (далее -ТК), согласно сайта 92222.рф у ТК адрес: г. Саров, ул. Зернова д. 34, офис 302, согласно информации СПАРК адрес: 607190, Нижегородская область, г.о. ЗАТО г.Саров, ул. Гоголя д. 34 кв. 73. Ситуация: 29.08.2021 у меня на руках были  заранее купленные и соответственно оплаченные, три билета (номера:18150320, 18150322, 18150324) Дивеево-Нижний Новгород, время отправления 17:15, точка отправления: Дивеево, ул. Южная, дом 1. На телефон мне пришло сообщение, которое содержало номер автобуса и время отправления. Никаких иных уточняющих данных не было, например, номера телефона для связи. Рядом находится автостанция. Я сходила на нее, никакой информации мне уточнить там не могли. В 16:49 по номеру, указанному в билете 8-800-707-54-25 оператор подтвердил, что точка отправления ул. Южная дом. Автобус по указанному в билетах адресу не прибыл. Все это время мой телефон был у меня в руках и не выключен. Никаких звонков. Зато в 17:19 позвонила оператор и разговаривала со мной, как с умственно-отсталой: а вы где у нас? А вы не там стоите, а зачем вы там стоите? Ну и что, что написано в билете, а отправление от автостанции!!! Что это за общение с клиентом??? И почему мне звонок поступил, после того, как уехал автобус? Со мной был ребенок и пожилая женщина, больная диабетом. В результате я опоздала на важную встречу,итог-была сорвана сделка.  На сайте ТК нет возможности оставить отзыв или претензию в разделе «Обратная связь» ( ошибка сервера), есть опция «Заказать звонок», но ни у в указанное время, ни в любое другое звонки от ТК Попутчик не поступают. Я связалась с ТК по е-mail, описала ситуацию, также просила пояснить: почему в билете указан договор страхования ОСГОП номер ALFZ22027873849000, действует с19.08.2020 по 19.08.2020г, т.е. транспортная компания предоставляет услуги страхования по недействующему договору? Т.к. билеты я покупала на сайте компании BUSFOR, то ТК рекомендовала обратиться со всеми вопросами к компании BUSFOR. В результате был получен ответ от компании BUSFOR, что вся ответственность за качество предоставляемой информации лежит на ТК. Я уведомила об этом ТК 16.09.2021. Мое сообщение ТК было проигнорировано. Прошу принять мою претензию в отношении ТК Попутчик, как в нарушение требований ст. 4 Закона РФ «О защите прав потребителей»  и пункта 8 «Правил бытового обслуживания населения в РФ»"
551,29138,/Forum/Appeals/Details/29138,СБЕРМЕГАМАРКЕТ прислал совсем не тот товар что я оплатила! ,"Я оплатила 14.09.2021 2322 за корм для кошек Brit 8 кг, мне прислали товар по почте, смс о том что товар доставлен я так и не дождалась, проверив на почте посылку оказалось что прислали несколько упаковок корма алмо Апетино! По тел. поддержки сказали что только писать обращение в личном кабинете этой шарашкиной конторы, на обращение в личном кабинете я получила отписку от продавца о том что да они ошиблисьи от поддержки о том что они подключились и всё! Сегодня 28.09.21 ни ответа ни привета и никто ни за что не отвечает?! Что это за шарашкина контора которая берёт предоплату за товар а потом продает тебе что попало и не отвечает за это никак?! Изачем тогда нужна эта шарашкина контора, если она никакойответственности не несет а только деньги собирает? "
